"x","y","elevation","forest","chaparral","habitat","seeds"
235836.7,3772824.4,671,0.01,0.35,"Oak","Med"
236136.7,3772824.4,673,0,0.25,"Pine","Med"
236436.7,3772824.4,768,0,0.36,"Oak","Med"
236736.7,3772824.4,647,0,0.26,"Oak","High"
237036.7,3772824.4,554,0,0.34,"Bare","Med"
237336.7,3772824.4,509,0,0.52,"Oak","Med"
237636.7,3772824.4,418,0.02,0.21,"Oak","Med"
237936.7,3772824.4,480,0.02,0.14,"Oak","Med"
238236.7,3772824.4,164,0,0.11,"Pine","High"
229836.7,3772524.4,19,0,0,"Pine","High"
230136.7,3772524.4,33,0,0,"Oak","Low"
230436.7,3772524.4,27,0,0,"Bare","Med"
230736.7,3772524.4,36,0,0.02,"Bare","Med"
231036.7,3772524.4,61,0,0,"Oak","Med"
231336.7,3772524.4,58,0,0,"Bare","Low"
231636.7,3772524.4,68,0,0,"Bare","Low"
231936.7,3772524.4,84,0,0,"Oak","Low"
232236.7,3772524.4,136,0,0.03,"Oak","Med"
232536.7,3772524.4,202,0,0.16,"Oak","Low"
232836.7,3772524.4,296,0,0.25,"Oak","High"
233136.7,3772524.4,513,0,0.16,"Pine","High"
233436.7,3772524.4,740,0,0.08,"Bare","Low"
233736.7,3772524.4,796,0,0.02,"Pine","Low"
234036.7,3772524.4,1258,0,0.02,"Oak","Med"
234336.7,3772524.4,981,0,0.13,"Oak","Low"
234636.7,3772524.4,773,0,0.13,"Oak","Low"
234936.7,3772524.4,617,0,0.23,"Pine","Med"
235236.7,3772524.4,738,0,0.3,"Oak","Med"
235536.7,3772524.4,700,0.02,0.23,"Oak","Med"
235836.7,3772524.4,1022,0.02,0.13,"Oak","Med"
236136.7,3772524.4,907,0,0.03,"Bare","High"
236436.7,3772524.4,670,0,0.08,"Oak","Low"
236736.7,3772524.4,507,0,0.01,"Pine","Med"
237036.7,3772524.4,662,0,0.22,"Oak","Low"
237336.7,3772524.4,643,0,0.34,"Oak","Med"
237636.7,3772524.4,497,0.02,0.32,"Oak","Med"
237936.7,3772524.4,612,0.02,0.37,"Oak","Med"
238236.7,3772524.4,456,0,0.5,"Bare","Med"
238536.7,3772524.4,321,0,0.32,"Oak","Med"
231336.7,3772224.4,15,0,0.01,"Pine","Med"
231636.7,3772224.4,30,0,0.01,"Oak","Low"
231936.7,3772224.4,67,0,0,"Pine","Low"
232236.7,3772224.4,118,0,0.01,"Oak","Low"
232536.7,3772224.4,162,0,0.06,"Pine","Med"
232836.7,3772224.4,303,0,0.1,"Oak","Med"
233136.7,3772224.4,366,0,0.1,"Pine","Low"
233436.7,3772224.4,556,0,0.09,"Pine","Med"
233736.7,3772224.4,751,0,0.05,"Oak","Med"
234036.7,3772224.4,940,0,0.02,"Oak","Med"
234336.7,3772224.4,1345,0,0.02,"Oak","Med"
234636.7,3772224.4,1217,0,0.15,"Bare","Low"
234936.7,3772224.4,862,0.02,0.26,"Pine","Low"
235236.7,3772224.4,1039,0,0.2,"Pine","Med"
235536.7,3772224.4,937,0,0.12,"Oak","Med"
235836.7,3772224.4,1159,0.01,0.02,"Bare","Med"
236136.7,3772224.4,1002,0,0.02,"Oak","Med"
236436.7,3772224.4,585,0.01,0.05,"Bare","Med"
236736.7,3772224.4,932,0.01,0.05,"Bare","Low"
237036.7,3772224.4,870,0,0.01,"Oak","Med"
237336.7,3772224.4,863,0.03,0.16,"Oak","Med"
237636.7,3772224.4,672,0.03,0.21,"Pine","Med"
237936.7,3772224.4,646,0.03,0.32,"Bare","High"
238236.7,3772224.4,620,0.04,0.45,"Oak","Low"
238536.7,3772224.4,502,0.04,0.36,"Pine","Med"
238836.7,3772224.4,112,0.04,0.23,"Pine","Med"
239136.7,3772224.4,225,0.02,0.21,"Oak","Med"
231936.7,3771924.4,43,0,0,"Oak","Med"
232236.7,3771924.4,65,0,0.04,"Oak","Med"
232536.7,3771924.4,126,0,0.13,"Oak","High"
232836.7,3771924.4,227,0,0.07,"Oak","Low"
233136.7,3771924.4,271,0,0.02,"Pine","Low"
233436.7,3771924.4,394,0,0.06,"Oak","Med"
233736.7,3771924.4,543,0,0.09,"Oak","Low"
234036.7,3771924.4,678,0,0.07,"Pine","Low"
234336.7,3771924.4,1103,0,0.01,"Bare","Med"
234636.7,3771924.4,1256,0.02,0.04,"Pine","Low"
234936.7,3771924.4,1298,0.02,0.24,"Pine","Low"
235236.7,3771924.4,1044,0.01,0.26,"Pine","Med"
235536.7,3771924.4,1234,0.01,0.06,"Oak","Low"
235836.7,3771924.4,1577,0,0.02,"Pine","Med"
236136.7,3771924.4,1145,0,0.09,"Pine","Med"
236436.7,3771924.4,827,0.01,0.19,"Pine","Med"
236736.7,3771924.4,968,0.01,0.09,"Pine","Low"
237036.7,3771924.4,1312,0.01,0,"Pine","Low"
237336.7,3771924.4,1031,0.06,0,"Pine","Med"
237636.7,3771924.4,848,0.04,0.09,"Pine","Low"
237936.7,3771924.4,395,0.04,0.23,"Oak","High"
238236.7,3771924.4,377,0.07,0.21,"Oak","High"
238536.7,3771924.4,375,0.04,0.28,"Bare","Low"
238836.7,3771924.4,451,0.05,0.47,"Oak","Med"
239136.7,3771924.4,291,0.04,0.43,"Oak","Low"
239436.7,3771924.4,109,0,0.27,"Oak","Med"
242136.7,3771924.4,24,0,0.01,"Bare","Med"
242436.7,3771924.4,127,0.02,0.05,"Oak","Med"
242736.7,3771924.4,0,0.02,0.09,"Oak","Low"
243036.7,3771924.4,3,0,0.03,"Pine","Med"
245136.7,3771924.4,458,0.01,0.01,"Pine","Low"
245436.7,3771924.4,46,0.01,0.04,"Oak","Med"
232536.7,3771624.4,128,0,0.13,"Pine","Med"
232836.7,3771624.4,151,0,0.03,"Pine","Med"
233136.7,3771624.4,209,0,0.05,"Oak","High"
233436.7,3771624.4,268,0,0,"Oak","Med"
233736.7,3771624.4,360,0,0.04,"Oak","Low"
234036.7,3771624.4,659,0,0.05,"Oak","Low"
234336.7,3771624.4,1143,0,0.01,"Oak","Med"
234636.7,3771624.4,891,0,0,"Pine","Low"
234936.7,3771624.4,1235,0,0.09,"Pine","Low"
235236.7,3771624.4,1446,0.01,0.15,"Pine","Low"
235536.7,3771624.4,1517,0.01,0.05,"Pine","Med"
235836.7,3771624.4,1442,0,0,"Pine","Med"
236136.7,3771624.4,964,0,0.05,"Oak","Low"
236436.7,3771624.4,1082,0,0.13,"Oak","Med"
236736.7,3771624.4,1189,0,0.04,"Pine","Med"
237036.7,3771624.4,1203,0.03,0.01,"Bare","High"
237336.7,3771624.4,984,0.12,0.03,"Oak","Low"
237636.7,3771624.4,583,0.11,0.13,"Pine","Med"
237936.7,3771624.4,848,0.08,0.17,"Pine","Med"
238236.7,3771624.4,791,0.03,0.05,"Oak","Med"
238536.7,3771624.4,715,0.01,0.13,"Oak","Med"
238836.7,3771624.4,621,0.08,0.25,"Bare","Med"
239136.7,3771624.4,271,0.1,0.3,"Oak","Med"
239436.7,3771624.4,393,0.03,0.44,"Bare","Med"
239736.7,3771624.4,351,0.01,0.2,"Pine","Med"
241236.7,3771624.4,103,0.02,0.04,"Oak","Med"
241836.7,3771624.4,566,0,0.12,"Oak","Low"
242136.7,3771624.4,618,0.04,0.04,"Oak","Low"
242436.7,3771624.4,155,0.15,0.11,"Pine","Low"
242736.7,3771624.4,292,0.13,0.16,"Oak","Low"
243036.7,3771624.4,348,0.06,0.1,"Oak","Med"
243336.7,3771624.4,497,0.02,0.06,"Pine","Med"
243636.7,3771624.4,496,0,0.27,"Oak","High"
243936.7,3771624.4,540,0,0.28,"Oak","Med"
244236.7,3771624.4,335,0,0.09,"Oak","High"
244536.7,3771624.4,394,0.05,0.14,"Oak","Med"
244836.7,3771624.4,366,0.05,0.14,"Pine","Low"
245136.7,3771624.4,447,0,0.15,"Oak","Med"
245436.7,3771624.4,362,0.04,0.21,"Oak","Low"
232536.7,3771324.4,7,0,0.03,"Oak","Low"
232836.7,3771324.4,128,0,0.07,"Pine","Med"
233136.7,3771324.4,156,0,0.11,"Bare","Med"
233436.7,3771324.4,225,0,0.09,"Bare","Med"
233736.7,3771324.4,295,0,0.09,"Oak","Low"
234036.7,3771324.4,514,0,0.09,"Pine","Med"
234336.7,3771324.4,612,0,0.03,"Oak","Low"
234636.7,3771324.4,680,0,0,"Pine","Med"
234936.7,3771324.4,990,0,0.04,"Oak","Med"
235236.7,3771324.4,1472,0,0.04,"Bare","Med"
235536.7,3771324.4,1433,0,0.03,"Oak","Low"
235836.7,3771324.4,1204,0,0.04,"Pine","High"
236136.7,3771324.4,1226,0,0.02,"Pine","Med"
236436.7,3771324.4,1388,0,0.01,"Oak","Med"
236736.7,3771324.4,1356,0,0,"Pine","High"
237036.7,3771324.4,1105,0.15,0.02,"Pine","Low"
237336.7,3771324.4,777,0.26,0.04,"Pine","Med"
237636.7,3771324.4,983,0.32,0.04,"Bare","Low"
237936.7,3771324.4,1209,0.13,0.02,"Pine","Low"
238236.7,3771324.4,927,0.14,0.01,"Oak","Med"
238536.7,3771324.4,660,0.14,0.03,"Oak","Med"
238836.7,3771324.4,570,0.16,0.03,"Pine","Med"
239136.7,3771324.4,280,0.21,0.16,"Oak","Med"
239436.7,3771324.4,587,0.05,0.37,"Oak","Low"
239736.7,3771324.4,254,0.09,0.28,"Bare","Low"
240036.7,3771324.4,238,0.09,0.4,"Oak","Med"
240336.7,3771324.4,302,0.02,0.62,"Pine","High"
240636.7,3771324.4,127,0,0.48,"Oak","Med"
240936.7,3771324.4,224,0.02,0.17,"Pine","High"
241236.7,3771324.4,346,0.04,0.29,"Bare","Med"
241536.7,3771324.4,346,0.06,0.29,"Oak","Med"
241836.7,3771324.4,675,0.04,0.19,"Pine","Med"
242136.7,3771324.4,560,0.07,0.1,"Bare","Med"
242436.7,3771324.4,524,0.24,0.1,"Oak","Med"
242736.7,3771324.4,621,0.2,0.19,"Oak","High"
243036.7,3771324.4,460,0.16,0.16,"Oak","Med"
243336.7,3771324.4,559,0.08,0.19,"Oak","Med"
243636.7,3771324.4,872,0.01,0.44,"Oak","Med"
243936.7,3771324.4,893,0.1,0.37,"Bare","Med"
244236.7,3771324.4,548,0.18,0.23,"Oak","Low"
244536.7,3771324.4,377,0.2,0.28,"Bare","Med"
244836.7,3771324.4,501,0.11,0.35,"Pine","Low"
245136.7,3771324.4,574,0.06,0.42,"Oak","Med"
245436.7,3771324.4,207,0.09,0.57,"Oak","Med"
245736.7,3771324.4,211,0.09,0.45,"Pine","Med"
246036.7,3771324.4,91,0.08,0.39,"Oak","High"
246336.7,3771324.4,111,0.01,0.23,"Pine","Low"
233136.7,3771024.4,180,0,0.05,"Oak","Med"
233436.7,3771024.4,244,0,0.07,"Oak","Med"
233736.7,3771024.4,285,0,0.28,"Bare","Low"
234036.7,3771024.4,408,0,0.19,"Pine","Low"
234336.7,3771024.4,482,0,0.04,"Pine","Low"
234636.7,3771024.4,736,0,0,"Pine","Med"
234936.7,3771024.4,1022,0,0,"Pine","High"
235236.7,3771024.4,934,0,0,"Oak","Med"
235536.7,3771024.4,1357,0,0.03,"Oak","Med"
235836.7,3771024.4,1640,0,0.03,"Pine","Med"
236136.7,3771024.4,1577,0.08,0.01,"Oak","Med"
236436.7,3771024.4,1322,0.08,0,"Pine","Low"
236736.7,3771024.4,1191,0.06,0,"Pine","Med"
237036.7,3771024.4,1200,0.2,0.01,"Oak","Med"
237336.7,3771024.4,1158,0.34,0.03,"Oak","Med"
237636.7,3771024.4,1311,0.38,0.02,"Oak","Med"
237936.7,3771024.4,1200,0.36,0,"Bare","Med"
238236.7,3771024.4,1139,0.25,0,"Oak","Low"
238536.7,3771024.4,953,0.17,0,"Oak","Med"
238836.7,3771024.4,829,0.19,0,"Pine","Med"
239136.7,3771024.4,724,0.13,0.06,"Oak","Low"
239436.7,3771024.4,815,0.1,0.16,"Oak","Med"
239736.7,3771024.4,200,0.16,0.18,"Oak","Low"
240036.7,3771024.4,685,0.21,0.32,"Pine","Low"
240336.7,3771024.4,449,0.13,0.44,"Oak","Low"
240636.7,3771024.4,340,0.01,0.64,"Oak","Med"
240936.7,3771024.4,323,0.07,0.41,"Pine","Low"
241236.7,3771024.4,574,0.04,0.54,"Pine","Med"
241536.7,3771024.4,690,0.13,0.4,"Oak","Low"
241836.7,3771024.4,772,0.08,0.18,"Oak","Med"
242136.7,3771024.4,792,0.1,0.11,"Oak","Med"
242436.7,3771024.4,673,0.2,0.11,"Oak","Low"
242736.7,3771024.4,766,0.14,0.23,"Pine","Med"
243036.7,3771024.4,759,0.14,0.24,"Pine","High"
243336.7,3771024.4,861,0.05,0.13,"Oak","Low"
243636.7,3771024.4,787,0.15,0.19,"Pine","Med"
243936.7,3771024.4,523,0.27,0.22,"Oak","Low"
244236.7,3771024.4,618,0.32,0.38,"Pine","Med"
244536.7,3771024.4,355,0.26,0.43,"Pine","Med"
244836.7,3771024.4,635,0.22,0.43,"Oak","Med"
245136.7,3771024.4,208,0.22,0.44,"Pine","Low"
245436.7,3771024.4,377,0.17,0.55,"Pine","Low"
245736.7,3771024.4,701,0.18,0.63,"Oak","High"
246036.7,3771024.4,553,0.23,0.63,"Oak","Med"
246336.7,3771024.4,542,0.07,0.42,"Oak","Med"
246636.7,3771024.4,525,0.03,0.2,"Oak","Low"
246936.7,3771024.4,168,0.09,0.1,"Oak","Med"
263136.7,3771024.4,16,0,0,"Oak","Med"
263436.7,3771024.4,291,0,0,"Pine","Med"
263736.7,3771024.4,55,0,0,"Oak","Med"
233436.7,3770724.4,205,0,0.12,"Oak","Med"
233736.7,3770724.4,269,0,0.35,"Oak","Low"
234036.7,3770724.4,300,0,0.18,"Oak","Med"
234336.7,3770724.4,519,0,0.1,"Oak","Med"
234636.7,3770724.4,542,0,0.13,"Pine","Med"
234936.7,3770724.4,612,0,0.03,"Oak","Med"
235236.7,3770724.4,744,0,0,"Oak","Low"
235536.7,3770724.4,1013,0,0,"Oak","Low"
235836.7,3770724.4,1163,0,0,"Oak","Med"
236136.7,3770724.4,1593,0.08,0,"Oak","Med"
236436.7,3770724.4,1807,0.1,0,"Pine","Low"
236736.7,3770724.4,1678,0.14,0,"Bare","Low"
237036.7,3770724.4,1382,0.33,0,"Oak","High"
237336.7,3770724.4,1485,0.49,0.03,"Oak","Med"
237636.7,3770724.4,1473,0.47,0.02,"Pine","Med"
237936.7,3770724.4,1488,0.35,0.04,"Pine","Med"
238236.7,3770724.4,1220,0.29,0.08,"Pine","High"
238536.7,3770724.4,846,0.3,0.01,"Oak","High"
238836.7,3770724.4,904,0.23,0.03,"Oak","Low"
239136.7,3770724.4,596,0.13,0.14,"Oak","Med"
239436.7,3770724.4,412,0.13,0.24,"Pine","Med"
239736.7,3770724.4,504,0.18,0.31,"Pine","Med"
240036.7,3770724.4,875,0.16,0.24,"Bare","Low"
240336.7,3770724.4,610,0.11,0.24,"Pine","Low"
240636.7,3770724.4,535,0.02,0.5,"Pine","Med"
240936.7,3770724.4,529,0.15,0.37,"Oak","Low"
241236.7,3770724.4,673,0.13,0.32,"Bare","Low"
241536.7,3770724.4,893,0.14,0.19,"Pine","Med"
241836.7,3770724.4,947,0.14,0.15,"Oak","Low"
242136.7,3770724.4,989,0.09,0.17,"Oak","Med"
242436.7,3770724.4,890,0.19,0.13,"Oak","Med"
242736.7,3770724.4,1022,0.05,0.23,"Oak","Low"
243036.7,3770724.4,806,0.11,0.15,"Pine","Low"
243336.7,3770724.4,988,0.08,0.17,"Pine","High"
243636.7,3770724.4,772,0.16,0.11,"Bare","Med"
243936.7,3770724.4,869,0.22,0.25,"Pine","Med"
244236.7,3770724.4,714,0.24,0.42,"Oak","Low"
244536.7,3770724.4,869,0.28,0.61,"Pine","Med"
244836.7,3770724.4,497,0.24,0.51,"Oak","High"
245136.7,3770724.4,701,0.36,0.36,"Oak","Med"
245436.7,3770724.4,467,0.3,0.23,"Pine","Med"
245736.7,3770724.4,632,0.34,0.35,"Pine","High"
246036.7,3770724.4,810,0.28,0.46,"Pine","Low"
246336.7,3770724.4,867,0.08,0.37,"Oak","Med"
246636.7,3770724.4,647,0.1,0.15,"Oak","High"
246936.7,3770724.4,277,0.16,0.23,"Oak","Med"
247236.7,3770724.4,21,0.05,0.39,"Oak","Med"
248136.7,3770724.4,89,0.07,0.35,"Oak","Med"
248436.7,3770724.4,0,0.04,0.22,"Oak","Low"
261336.7,3770724.4,364,0,0.03,"Oak","High"
261636.7,3770724.4,382,0,0,"Oak","Low"
261936.7,3770724.4,285,0,0,"Oak","Med"
262236.7,3770724.4,0,0,0,"Oak","Low"
262536.7,3770724.4,145,0,0,"Oak","Med"
262836.7,3770724.4,350,0,0,"Oak","Med"
263136.7,3770724.4,266,0.02,0,"Oak","Low"
263436.7,3770724.4,207,0.07,0,"Oak","Med"
263736.7,3770724.4,246,0.02,0,"Oak","Low"
233736.7,3770424.4,184,0,0.1,"Oak","Low"
234036.7,3770424.4,237,0,0.04,"Oak","Low"
234336.7,3770424.4,438,0,0.05,"Oak","Med"
234636.7,3770424.4,591,0,0.11,"Bare","Med"
234936.7,3770424.4,547,0,0.06,"Oak","Med"
235236.7,3770424.4,777,0,0.02,"Pine","Med"
235536.7,3770424.4,848,0,0,"Pine","Med"
235836.7,3770424.4,1043,0,0,"Pine","Med"
236136.7,3770424.4,1070,0,0,"Pine","Med"
236436.7,3770424.4,1551,0,0.02,"Oak","Med"
236736.7,3770424.4,1295,0.04,0.08,"Pine","Med"
237036.7,3770424.4,1673,0.24,0.02,"Oak","Low"
237336.7,3770424.4,1879,0.45,0.05,"Oak","Low"
237636.7,3770424.4,1837,0.45,0.13,"Pine","Low"
237936.7,3770424.4,1431,0.4,0.12,"Oak","Low"
238236.7,3770424.4,1432,0.3,0.22,"Pine","Med"
238536.7,3770424.4,1283,0.26,0.26,"Oak","Med"
238836.7,3770424.4,923,0.15,0.19,"Bare","Med"
239136.7,3770424.4,1018,0.07,0.2,"Pine","Med"
239436.7,3770424.4,806,0.21,0.31,"Oak","Med"
239736.7,3770424.4,446,0.17,0.3,"Oak","Med"
240036.7,3770424.4,867,0.21,0.22,"Pine","Med"
240336.7,3770424.4,951,0.16,0.31,"Oak","Med"
240636.7,3770424.4,928,0.01,0.78,"Oak","Low"
240936.7,3770424.4,941,0.21,0.52,"Oak","Low"
241236.7,3770424.4,656,0.2,0.25,"Oak","Low"
241536.7,3770424.4,900,0.11,0.16,"Oak","Med"
241836.7,3770424.4,875,0.1,0.03,"Oak","Low"
242136.7,3770424.4,1395,0.11,0.1,"Oak","Med"
242436.7,3770424.4,1092,0.18,0.14,"Oak","Med"
242736.7,3770424.4,1196,0.09,0.19,"Pine","High"
243036.7,3770424.4,1165,0.07,0.11,"Pine","Med"
243336.7,3770424.4,1122,0.18,0.05,"Oak","Med"
243636.7,3770424.4,1039,0.26,0.12,"Pine","Low"
243936.7,3770424.4,1075,0.2,0.45,"Oak","Low"
244236.7,3770424.4,946,0.35,0.5,"Pine","Med"
244536.7,3770424.4,778,0.38,0.39,"Oak","Med"
244836.7,3770424.4,831,0.24,0.49,"Oak","Low"
245136.7,3770424.4,920,0.23,0.33,"Oak","Med"
245436.7,3770424.4,820,0.27,0.21,"Oak","High"
245736.7,3770424.4,933,0.18,0.21,"Pine","Med"
246036.7,3770424.4,1016,0.13,0.22,"Oak","Med"
246336.7,3770424.4,615,0.15,0.29,"Oak","Low"
246636.7,3770424.4,264,0.23,0.2,"Oak","Low"
246936.7,3770424.4,344,0.16,0.42,"Pine","Med"
247236.7,3770424.4,471,0.02,0.66,"Pine","Med"
247536.7,3770424.4,349,0,0.54,"Oak","Low"
247836.7,3770424.4,312,0.06,0.36,"Oak","Low"
248136.7,3770424.4,116,0.1,0.44,"Pine","Med"
248436.7,3770424.4,182,0.11,0.48,"Oak","Med"
248736.7,3770424.4,53,0.12,0.47,"Oak","Med"
249036.7,3770424.4,1,0.04,0.29,"Oak","Med"
260436.7,3770424.4,44,0.02,0,"Oak","Low"
261036.7,3770424.4,240,0,0.03,"Bare","Med"
261336.7,3770424.4,372,0,0.03,"Pine","Low"
261636.7,3770424.4,359,0,0,"Bare","Med"
261936.7,3770424.4,220,0,0.06,"Oak","Med"
262236.7,3770424.4,226,0,0.07,"Oak","Med"
262536.7,3770424.4,167,0,0,"Oak","Med"
262836.7,3770424.4,126,0.04,0,"Bare","Low"
263136.7,3770424.4,106,0.07,0.01,"Bare","Med"
263436.7,3770424.4,75,0.1,0,"Bare","Med"
263736.7,3770424.4,24,0.05,0,"Oak","Low"
264036.7,3770424.4,61,0,0,"Oak","High"
264336.7,3770424.4,0,0,0.01,"Oak","High"
233736.7,3770124.4,235,0,0,"Oak","Low"
234036.7,3770124.4,223,0,0.03,"Bare","Med"
234336.7,3770124.4,244,0,0.06,"Pine","Low"
234636.7,3770124.4,284,0,0.04,"Pine","Med"
234936.7,3770124.4,466,0,0.06,"Oak","Med"
235236.7,3770124.4,573,0,0.07,"Oak","Low"
235536.7,3770124.4,599,0,0,"Oak","Med"
235836.7,3770124.4,858,0,0,"Oak","Med"
236136.7,3770124.4,820,0,0.01,"Oak","Med"
236436.7,3770124.4,986,0,0.11,"Oak","Med"
236736.7,3770124.4,1098,0,0.19,"Pine","Med"
237036.7,3770124.4,1613,0.02,0.03,"Oak","High"
237336.7,3770124.4,1837,0.1,0.07,"Pine","Med"
237636.7,3770124.4,2017,0.13,0.23,"Oak","Med"
237936.7,3770124.4,1897,0.16,0.41,"Oak","Med"
238236.7,3770124.4,1842,0.08,0.54,"Pine","Low"
238536.7,3770124.4,1622,0.07,0.41,"Bare","Low"
238836.7,3770124.4,1240,0.08,0.35,"Bare","High"
239136.7,3770124.4,1122,0.09,0.18,"Oak","Med"
239436.7,3770124.4,651,0.12,0.38,"Oak","Med"
239736.7,3770124.4,933,0.13,0.39,"Oak","Med"
240036.7,3770124.4,793,0.33,0.28,"Oak","High"
240336.7,3770124.4,994,0.19,0.52,"Oak","Med"
240636.7,3770124.4,1310,0.03,0.72,"Oak","Med"
240936.7,3770124.4,1012,0.16,0.65,"Oak","Med"
241236.7,3770124.4,858,0.25,0.36,"Bare","Low"
241536.7,3770124.4,1185,0.21,0.15,"Pine","Med"
241836.7,3770124.4,1031,0.25,0,"Pine","Low"
242136.7,3770124.4,1413,0.2,0,"Oak","Med"
242436.7,3770124.4,1266,0.2,0.04,"Oak","High"
