"x","y","elevation","forest","water"
496500,121500,429,3,"No"
496500,122500,429,0,"No"
496500,140500,1389,8,"No"
496500,141500,1473,21,"No"
496500,142500,1467,67,"No"
496500,143500,1411,39,"No"
496500,144500,1248,13,"No"
496500,145500,1231,69,"No"
496500,146500,1280,54,"No"
496500,147500,1223,26,"No"
496500,148500,1192,9,"No"
497500,111500,471,0,"No"
497500,112500,459,0,"No"
497500,113500,417,0,"No"
497500,114500,399,4,"No"
497500,115500,415,4,"No"
497500,116500,419,2,"No"
497500,117500,405,15,"Yes"
497500,118500,450,0,"No"
497500,119500,427,1,"No"
497500,120500,425,1,"No"
497500,121500,421,0,"No"
497500,122500,420,0,"No"
497500,124500,433,0,"No"
497500,125500,452,0,"Yes"
497500,126500,466,6,"No"
497500,127500,472,22,"No"
497500,139500,1210,17,"No"
497500,140500,1301,71,"No"
497500,141500,1461,64,"No"
497500,142500,1450,13,"No"
497500,143500,1509,39,"No"
497500,144500,1331,87,"No"
497500,145500,1208,19,"No"
497500,146500,1288,76,"No"
497500,147500,1295,25,"No"
497500,148500,1356,55,"No"
497500,149500,1308,61,"No"
497500,150500,1186,18,"No"
498500,110500,490,0,"No"
498500,111500,477,0,"No"
498500,112500,463,0,"No"
498500,113500,419,0,"No"
498500,114500,397,0,"No"
498500,115500,390,4,"No"
498500,116500,407,2,"No"
498500,117500,399,15,"Yes"
498500,118500,416,0,"No"
498500,119500,433,1,"No"
498500,120500,450,0,"No"
498500,121500,433,1,"No"
498500,122500,414,0,"No"
498500,123500,416,0,"No"
498500,124500,425,2,"No"
498500,125500,434,1,"No"
498500,126500,445,21,"No"
498500,127500,447,55,"No"
498500,128500,458,50,"No"
498500,129500,461,11,"No"
498500,130500,466,2,"No"
498500,139500,1022,72,"No"
498500,140500,1201,89,"No"
498500,141500,1256,99,"No"
498500,142500,1443,66,"No"
498500,143500,1409,54,"No"
498500,144500,1290,81,"No"
498500,145500,1215,67,"No"
498500,146500,1297,67,"No"
498500,147500,1360,63,"No"
498500,148500,1456,26,"No"
498500,149500,1507,45,"No"
498500,150500,1339,86,"No"
498500,151500,1226,48,"No"
498500,152500,1154,12,"No"
498500,158500,1273,11,"No"
498500,159500,1310,44,"No"
499500,110500,486,0,"No"
499500,111500,470,1,"No"
499500,112500,450,10,"No"
499500,113500,422,4,"No"
499500,114500,408,4,"No"
499500,115500,385,0,"No"
499500,116500,376,0,"Yes"
499500,117500,375,1,"Yes"
499500,118500,403,0,"No"
499500,119500,408,0,"No"
499500,120500,438,1,"No"
499500,121500,450,2,"No"
499500,122500,409,15,"No"
499500,123500,407,10,"No"
499500,124500,425,28,"No"
499500,125500,425,8,"No"
499500,126500,422,42,"Yes"
499500,127500,433,83,"Yes"
499500,128500,444,88,"No"
499500,129500,455,50,"No"
499500,130500,470,5,"No"
499500,131500,468,12,"Yes"
499500,132500,463,2,"No"
499500,138500,626,39,"No"
499500,139500,746,100,"No"
499500,140500,931,100,"No"
499500,141500,1141,100,"No"
499500,142500,1321,92,"No"
499500,143500,1343,60,"No"
499500,144500,1204,71,"No"
499500,145500,1232,73,"No"
499500,146500,1332,57,"No"
499500,147500,1371,80,"No"
499500,148500,1431,68,"No"
499500,149500,1472,62,"No"
499500,150500,1456,47,"No"
499500,151500,1376,77,"No"
499500,152500,1264,48,"No"
499500,153500,1167,24,"No"
499500,157500,1219,15,"No"
499500,158500,1263,90,"No"
499500,159500,1300,99,"No"
499500,160500,1330,62,"No"
499500,161500,1349,1,"No"
500500,111500,459,0,"No"
500500,112500,440,2,"No"
500500,113500,422,2,"No"
500500,114500,419,10,"Yes"
500500,115500,385,15,"Yes"
500500,116500,389,0,"No"
500500,117500,380,0,"Yes"
500500,118500,376,0,"Yes"
500500,119500,384,0,"Yes"
500500,120500,381,4,"Yes"
500500,121500,386,12,"Yes"
500500,122500,389,8,"Yes"
500500,123500,392,11,"Yes"
500500,124500,421,6,"No"
500500,125500,416,19,"No"
500500,126500,410,28,"Yes"
500500,127500,425,30,"No"
500500,128500,431,49,"No"
500500,129500,450,53,"Yes"
500500,130500,460,55,"No"
500500,131500,475,72,"No"
500500,132500,470,22,"No"
500500,133500,467,1,"Yes"
500500,137500,543,0,"No"
500500,138500,549,7,"No"
500500,139500,600,70,"No"
500500,140500,691,91,"No"
500500,141500,890,100,"No"
500500,142500,1147,98,"No"
500500,143500,1207,94,"No"
500500,144500,1166,67,"No"
500500,145500,1216,87,"No"
500500,146500,1326,42,"No"
500500,147500,1342,66,"No"
500500,148500,1329,36,"No"
500500,149500,1371,96,"No"
500500,150500,1502,95,"No"
500500,151500,1468,95,"No"
500500,152500,1347,87,"No"
500500,153500,1286,55,"No"
500500,154500,1135,3,"No"
500500,156500,1184,14,"No"
500500,157500,1197,83,"No"
500500,158500,1239,96,"No"
500500,159500,1239,96,"No"
500500,160500,1296,100,"No"
500500,161500,1352,52,"No"
501500,112500,426,0,"No"
501500,113500,425,25,"No"
501500,114500,417,7,"Yes"
501500,115500,397,11,"Yes"
501500,116500,417,3,"Yes"
501500,117500,394,0,"Yes"
501500,118500,372,0,"Yes"
501500,119500,372,0,"Yes"
501500,120500,372,0,"Yes"
501500,121500,372,0,"Yes"
501500,122500,372,0,"Yes"
501500,123500,372,0,"Yes"
501500,124500,391,1,"Yes"
501500,125500,400,24,"No"
501500,126500,398,6,"No"
501500,127500,407,9,"No"
501500,128500,423,41,"Yes"
501500,129500,428,18,"No"
501500,130500,443,3,"No"
501500,131500,453,9,"No"
501500,132500,473,17,"No"
501500,133500,474,0,"Yes"
501500,134500,469,7,"No"
501500,135500,468,1,"No"
501500,136500,477,0,"No"
501500,137500,506,6,"No"
501500,138500,524,0,"Yes"
501500,139500,549,13,"No"
501500,140500,607,18,"No"
501500,141500,703,89,"No"
501500,142500,859,100,"No"
501500,143500,1041,92,"No"
501500,144500,1086,58,"No"
501500,145500,1126,53,"No"
501500,146500,1287,50,"No"
501500,147500,1286,87,"No"
501500,148500,1300,87,"No"
501500,149500,1299,67,"No"
501500,150500,1355,88,"No"
501500,151500,1463,59,"No"
501500,152500,1481,89,"No"
501500,153500,1374,93,"No"
501500,154500,1304,24,"No"
501500,155500,1194,44,"No"
501500,156500,1050,46,"Yes"
501500,157500,1179,83,"No"
501500,158500,1222,88,"No"
501500,159500,1215,88,"No"
501500,160500,1269,100,"No"
501500,161500,1325,99,"No"
501500,162500,1345,28,"No"
502500,112500,424,0,"No"
502500,113500,427,6,"No"
502500,114500,417,21,"Yes"
502500,115500,412,11,"Yes"
502500,116500,421,0,"No"
502500,117500,421,3,"No"
502500,118500,400,10,"Yes"
502500,119500,372,0,"Yes"
502500,120500,372,0,"Yes"
502500,121500,372,0,"Yes"
502500,122500,372,0,"Yes"
502500,123500,372,0,"Yes"
502500,124500,372,0,"Yes"
502500,125500,372,2,"Yes"
502500,126500,372,0,"Yes"
502500,127500,372,1,"Yes"
502500,128500,387,5,"Yes"
502500,129500,412,6,"No"
502500,130500,426,2,"No"
502500,131500,432,0,"No"
502500,132500,444,0,"No"
502500,133500,463,13,"No"
502500,134500,468,39,"No"
502500,135500,472,32,"No"
502500,136500,466,1,"No"
502500,137500,490,1,"No"
502500,138500,513,1,"No"
502500,139500,533,2,"No"
502500,140500,554,5,"No"
502500,141500,609,68,"No"
502500,142500,712,98,"No"
502500,143500,823,94,"No"
502500,144500,978,94,"No"
502500,145500,1074,23,"No"
502500,146500,1134,58,"No"
502500,147500,1193,62,"No"
502500,148500,1252,78,"No"
502500,149500,1286,59,"No"
502500,150500,1279,64,"No"
502500,151500,1360,78,"No"
502500,152500,1460,54,"No"
502500,153500,1458,95,"No"
502500,154500,1355,91,"No"
502500,155500,1284,35,"No"
502500,156500,1119,74,"No"
502500,157500,1046,30,"No"
502500,158500,1174,84,"No"
502500,159500,1192,89,"No"
502500,160500,1223,100,"No"
502500,161500,1244,100,"No"
502500,162500,1336,94,"No"
502500,163500,1352,4,"No"
503500,113500,423,0,"No"
503500,114500,406,0,"Yes"
503500,115500,402,0,"Yes"
503500,116500,413,2,"No"
503500,117500,424,0,"No"
503500,118500,439,3,"No"
503500,119500,471,4,"Yes"
503500,120500,384,1,"Yes"
503500,121500,372,0,"Yes"
503500,122500,372,0,"Yes"
503500,123500,372,0,"Yes"
503500,124500,372,0,"Yes"
503500,125500,372,0,"Yes"
503500,126500,350,0,"Yes"
503500,127500,372,0,"Yes"
503500,128500,372,0,"Yes"
503500,129500,377,0,"Yes"
503500,130500,401,4,"No"
503500,131500,413,0,"No"
503500,132500,421,1,"No"
503500,133500,437,11,"No"
503500,134500,450,19,"No"
503500,135500,459,43,"No"
503500,136500,460,17,"No"
503500,137500,468,2,"No"
503500,138500,501,0,"No"
503500,139500,513,2,"No"
503500,140500,529,1,"No"
503500,141500,565,37,"No"
503500,142500,650,89,"No"
503500,143500,680,96,"No"
503500,144500,870,92,"No"
503500,145500,1032,36,"No"
503500,146500,1058,65,"No"
503500,147500,1115,79,"No"
503500,148500,1164,77,"No"
503500,149500,1253,49,"No"
503500,150500,1250,34,"No"
503500,151500,1294,74,"No"
503500,152500,1362,81,"No"
503500,153500,1463,73,"No"
503500,154500,1446,92,"No"
503500,155500,1316,53,"No"
503500,156500,1250,21,"No"
503500,157500,1073,44,"No"
503500,158500,1050,27,"No"
503500,159500,1145,61,"No"
503500,160500,1141,73,"No"
503500,161500,1208,97,"No"
503500,162500,1281,100,"No"
503500,163500,1345,63,"No"
503500,164500,1354,5,"No"
504500,115500,405,0,"No"
504500,116500,420,0,"No"
504500,117500,423,0,"No"
504500,118500,429,3,"No"
504500,119500,462,3,"No"
504500,120500,476,4,"No"
504500,121500,428,0,"No"
504500,122500,403,6,"Yes"
504500,123500,387,4,"Yes"
504500,124500,372,3,"Yes"
504500,125500,372,0,"Yes"
504500,126500,372,0,"Yes"
504500,127500,372,0,"Yes"
504500,128500,372,0,"Yes"
504500,129500,372,0,"Yes"
504500,130500,372,1,"Yes"
504500,131500,384,1,"Yes"
504500,132500,390,0,"Yes"
504500,133500,398,8,"No"
504500,134500,432,3,"No"
504500,135500,445,4,"No"
504500,136500,450,1,"No"
504500,137500,448,3,"No"
504500,138500,478,0,"No"
504500,139500,494,1,"No"
504500,140500,503,1,"No"
504500,141500,540,6,"No"
504500,142500,569,42,"No"
504500,143500,618,28,"No"
504500,144500,783,99,"No"
504500,145500,913,89,"No"
504500,146500,1021,73,"No"
504500,147500,1011,85,"No"
504500,148500,1131,64,"No"
504500,149500,1212,65,"No"
504500,150500,1318,82,"No"
504500,151500,1297,58,"No"
504500,152500,1299,40,"No"
504500,153500,1328,59,"No"
504500,154500,1429,85,"No"
504500,155500,1388,93,"No"
504500,156500,1278,53,"No"
504500,157500,1220,30,"No"
504500,158500,1069,14,"Yes"
504500,159500,1055,33,"Yes"
504500,160500,1094,31,"No"
504500,161500,1147,71,"No"
504500,162500,1218,100,"No"
504500,163500,1300,99,"No"
504500,164500,1341,66,"No"
504500,165500,1366,1,"No"
505500,116500,422,1,"No"
505500,117500,427,3,"No"
505500,118500,428,5,"No"
505500,119500,434,0,"No"
505500,120500,458,6,"No"
505500,121500,447,1,"No"
505500,122500,432,2,"No"
505500,123500,413,0,"No"
505500,124500,386,1,"Yes"
505500,125500,372,0,"Yes"
505500,126500,372,0,"Yes"
505500,127500,372,0,"Yes"
505500,128500,372,0,"Yes"
505500,129500,372,0,"Yes"
505500,130500,372,0,"Yes"
505500,131500,372,0,"Yes"
505500,132500,372,0,"Yes"
505500,133500,372,1,"Yes"
505500,134500,383,6,"Yes"
505500,135500,423,5,"No"
505500,136500,431,14,"No"
505500,137500,430,10,"No"
505500,138500,451,0,"No"
505500,139500,473,1,"No"
505500,140500,481,0,"No"
505500,141500,506,5,"No"
505500,142500,533,6,"No"
505500,143500,570,1,"No"
505500,144500,663,60,"No"
505500,145500,792,20,"No"
505500,146500,874,45,"No"
505500,147500,923,91,"No"
505500,148500,983,62,"No"
505500,149500,1146,90,"No"
505500,150500,1343,80,"No"
505500,151500,1366,66,"No"
505500,152500,1377,55,"No"
505500,153500,1334,50,"No"
505500,154500,1331,44,"No"
505500,155500,1360,81,"No"
505500,156500,1336,86,"No"
505500,157500,1288,54,"No"
505500,158500,1209,35,"No"
505500,159500,1043,6,"Yes"
505500,160500,1042,18,"No"
505500,161500,1088,30,"No"
505500,162500,1155,86,"No"
505500,163500,1224,99,"No"
505500,164500,1286,99,"No"
505500,165500,1355,67,"No"
506500,117500,429,0,"No"
506500,118500,429,0,"No"
506500,119500,428,3,"Yes"
506500,120500,452,3,"No"
506500,121500,433,1,"Yes"
506500,122500,436,0,"No"
506500,123500,435,0,"No"
506500,124500,429,6,"No"
506500,125500,416,2,"Yes"
506500,126500,374,0,"Yes"
506500,127500,372,0,"Yes"
506500,128500,372,0,"Yes"
506500,129500,372,0,"Yes"
506500,130500,372,0,"Yes"
506500,131500,372,0,"Yes"
506500,132500,372,0,"Yes"
506500,133500,372,0,"Yes"
506500,134500,372,0,"Yes"
506500,135500,375,1,"Yes"
506500,136500,398,20,"No"
506500,137500,415,11,"No"
506500,138500,429,0,"No"
506500,139500,452,3,"No"
506500,140500,462,0,"No"
506500,141500,464,9,"No"
506500,142500,494,10,"No"
506500,143500,540,15,"No"
506500,144500,634,6,"No"
506500,145500,694,7,"No"
506500,146500,746,49,"No"
506500,147500,837,41,"No"
506500,148500,916,80,"No"
506500,149500,1036,87,"No"
506500,150500,1184,85,"No"
506500,151500,1326,87,"No"
506500,152500,1400,79,"No"
506500,153500,1430,60,"No"
506500,154500,1320,19,"No"
506500,155500,1320,43,"No"
506500,156500,1322,51,"No"
506500,157500,1333,92,"No"
506500,158500,1279,49,"No"
506500,159500,1130,46,"Yes"
506500,160500,1020,5,"Yes"
506500,161500,1028,3,"No"
506500,162500,1090,31,"Yes"
506500,163500,1152,66,"No"
506500,164500,1196,100,"No"
506500,165500,1269,100,"No"
506500,166500,1344,51,"No"
507500,117500,437,0,"No"
507500,118500,433,0,"No"
507500,119500,430,3,"No"
507500,120500,429,5,"Yes"
507500,121500,431,1,"No"
507500,122500,437,0,"No"
507500,123500,438,1,"Yes"
507500,124500,434,2,"No"
507500,125500,426,2,"Yes"
507500,126500,420,6,"No"
507500,127500,382,1,"Yes"
507500,128500,372,0,"Yes"
507500,129500,372,0,"Yes"
507500,131500,372,0,"Yes"
507500,132500,372,0,"Yes"
507500,133500,372,0,"Yes"
507500,134500,372,0,"Yes"
507500,135500,372,0,"Yes"
507500,136500,372,4,"Yes"
507500,137500,398,1,"Yes"
507500,138500,415,1,"No"
507500,139500,431,11,"No"
507500,140500,452,4,"No"
507500,141500,445,13,"No"
507500,142500,483,21,"No"
507500,143500,524,67,"No"
507500,144500,577,55,"No"
507500,145500,661,38,"No"
507500,146500,722,16,"No"
507500,147500,781,3,"No"
507500,148500,833,14,"No"
507500,149500,907,75,"No"
507500,150500,1048,83,"No"
507500,151500,1152,94,"No"
507500,152500,1323,77,"No"
507500,153500,1349,90,"No"
507500,154500,1368,83,"No"
507500,155500,1344,33,"No"
507500,156500,1318,47,"No"
507500,157500,1355,96,"No"
507500,158500,1338,52,"No"
507500,159500,1356,62,"No"
507500,160500,1189,60,"No"
507500,161500,1016,5,"Yes"
507500,162500,1020,10,"Yes"
507500,163500,1066,16,"No"
507500,164500,1136,87,"No"
507500,165500,1210,100,"No"
507500,166500,1297,99,"No"
507500,167500,1379,41,"No"
508500,117500,445,0,"No"
508500,118500,454,0,"Yes"
508500,119500,448,2,"No"
508500,120500,451,0,"No"
508500,121500,457,1,"No"
508500,122500,450,4,"No"
508500,123500,444,0,"No"
508500,124500,430,0,"No"
508500,126500,418,2,"No"
508500,127500,411,9,"No"
508500,128500,388,2,"No"
508500,133500,372,0,"Yes"
508500,134500,372,0,"Yes"
508500,135500,372,0,"Yes"
508500,136500,372,0,"Yes"
508500,137500,372,1,"Yes"
508500,138500,399,0,"Yes"
508500,139500,420,1,"No"
508500,140500,422,0,"No"
508500,141500,432,12,"No"
508500,142500,460,5,"No"
508500,143500,501,11,"No"
508500,144500,597,12,"No"
508500,145500,645,59,"No"
508500,146500,687,35,"No"
508500,147500,727,7,"No"
508500,148500,772,8,"No"
508500,149500,837,11,"No"
508500,150500,932,73,"No"
508500,151500,1028,90,"No"
508500,152500,1177,95,"No"
508500,153500,1248,100,"No"
508500,154500,1288,85,"No"
508500,155500,1395,75,"No"
508500,156500,1367,38,"No"
508500,157500,1346,32,"No"
508500,158500,1330,21,"No"
508500,159500,1373,61,"No"
508500,160500,1325,65,"No"
508500,161500,1127,23,"No"
508500,162500,1008,11,"Yes"
508500,163500,1006,13,"Yes"
508500,164500,1071,36,"Yes"
508500,165500,1119,63,"No"
508500,166500,1174,80,"No"
508500,167500,1281,68,"No"
508500,168500,1374,44,"No"
509500,118500,481,4,"No"
509500,119500,476,9,"No"
509500,120500,473,0,"No"
509500,121500,465,0,"No"
509500,122500,461,1,"No"
509500,123500,454,0,"No"
509500,135500,372,0,"Yes"
509500,136500,372,0,"Yes"
509500,137500,372,0,"Yes"
509500,138500,372,3,"Yes"
509500,139500,404,9,"No"
509500,140500,411,23,"No"
509500,141500,421,5,"No"
509500,142500,435,0,"No"
509500,143500,464,1,"Yes"
509500,144500,571,17,"No"
509500,145500,686,2,"No"
509500,146500,725,7,"No"
509500,147500,756,0,"No"
509500,148500,808,19,"No"
509500,149500,870,0,"No"
509500,150500,950,6,"No"
509500,151500,936,8,"No"
509500,152500,1009,64,"No"
509500,153500,1128,98,"No"
509500,154500,1150,95,"No"
509500,155500,1365,35,"No"
509500,156500,1432,94,"No"
509500,157500,1369,40,"No"
509500,158500,1350,22,"No"
509500,159500,1340,34,"No"
509500,160500,1341,82,"No"
509500,161500,1269,46,"No"
509500,162500,1106,16,"No"
509500,163500,1005,0,"Yes"
509500,164500,1004,13,"Yes"
509500,165500,1071,31,"Yes"
509500,166500,1150,29,"No"
509500,167500,1146,60,"No"
509500,168500,1284,73,"No"
509500,169500,1286,31,"No"
510500,118500,491,0,"No"
510500,119500,494,54,"No"
510500,120500,486,33,"No"
510500,121500,481,7,"No"
510500,122500,472,22,"No"
510500,123500,467,7,"No"
510500,136500,372,0,"Yes"
510500,137500,372,0,"Yes"
510500,138500,372,9,"Yes"
510500,139500,390,40,"No"
510500,140500,402,39,"No"
510500,141500,407,0,"No"
510500,142500,421,9,"Yes"
510500,143500,426,7,"No"
510500,144500,467,9,"Yes"
510500,145500,678,29,"No"
510500,146500,762,32,"No"
510500,147500,806,43,"No"
510500,148500,809,80,"No"
510500,149500,843,31,"No"
510500,150500,842,16,"No"
510500,151500,861,36,"No"
510500,152500,1000,82,"No"
510500,153500,1067,87,"No"
510500,154500,1103,86,"No"
510500,155500,1241,94,"No"
510500,156500,1446,83,"No"
510500,157500,1491,59,"No"
510500,158500,1461,16,"No"
510500,159500,1395,56,"No"
510500,160500,1327,54,"No"
510500,161500,1306,63,"No"
510500,162500,1272,34,"No"
510500,163500,1086,17,"Yes"
510500,164500,1004,0,"Yes"
510500,165500,1004,16,"Yes"
510500,166500,1076,14,"No"
510500,167500,1098,11,"No"
510500,168500,1157,44,"No"
510500,169500,1239,90,"No"
510500,170500,1197,37,"No"
510500,171500,1186,1,"No"
511500,119500,505,1,"No"
511500,120500,501,79,"No"
511500,121500,492,87,"Yes"
511500,122500,482,82,"No"
511500,123500,472,58,"No"
511500,124500,465,11,"No"
511500,136500,372,0,"Yes"
511500,137500,372,0,"Yes"
511500,138500,372,0,"Yes"
511500,139500,372,8,"Yes"
511500,140500,372,7,"Yes"
511500,141500,386,2,"Yes"
511500,142500,403,36,"Yes"
511500,143500,413,3,"No"
511500,144500,432,0,"No"
511500,145500,517,31,"No"
511500,146500,686,87,"No"
511500,147500,782,88,"No"
511500,148500,862,86,"No"
511500,149500,792,69,"No"
511500,150500,792,66,"No"
511500,151500,786,47,"No"
511500,152500,948,85,"No"
511500,153500,1035,84,"No"
511500,154500,1010,100,"No"
511500,155500,1220,99,"No"
511500,156500,1339,79,"No"
511500,157500,1439,86,"No"
511500,158500,1516,69,"No"
511500,159500,1550,40,"No"
511500,160500,1421,67,"No"
511500,161500,1350,56,"No"
511500,162500,1346,47,"No"
511500,163500,1265,44,"No"
511500,164500,1051,29,"Yes"
511500,165500,1004,0,"Yes"
511500,166500,1031,19,"Yes"
511500,167500,1076,17,"No"
511500,168500,1108,35,"No"
511500,169500,1169,56,"No"
511500,170500,1198,85,"No"
511500,171500,1180,55,"No"
512500,120500,508,12,"No"
512500,121500,507,30,"No"
512500,122500,500,40,"No"
512500,123500,492,29,"No"
512500,137500,372,0,"Yes"
512500,138500,372,0,"Yes"
512500,139500,372,0,"Yes"
512500,140500,372,0,"Yes"
512500,141500,372,0,"Yes"
512500,142500,382,7,"Yes"
512500,143500,419,3,"No"
512500,144500,431,5,"No"
512500,145500,466,0,"No"
512500,146500,553,26,"No"
512500,147500,715,78,"No"
512500,148500,823,35,"No"
512500,149500,787,34,"No"
512500,150500,759,28,"No"
512500,151500,755,26,"No"
512500,152500,803,19,"No"
512500,153500,870,67,"No"
512500,154500,886,100,"No"
512500,155500,1088,96,"No"
512500,156500,1301,100,"No"
512500,157500,1380,60,"No"
512500,158500,1475,61,"No"
512500,159500,1547,67,"No"
512500,160500,1546,19,"No"
512500,161500,1435,52,"No"
512500,162500,1367,65,"No"
512500,163500,1348,63,"No"
512500,164500,1270,89,"No"
512500,165500,1032,32,"Yes"
512500,166500,1004,1,"Yes"
512500,167500,1037,25,"Yes"
512500,168500,1068,33,"No"
512500,169500,1126,56,"No"
512500,170500,1181,60,"No"
512500,171500,1176,92,"No"
512500,172500,1117,9,"No"
513500,138500,372,0,"Yes"
513500,139500,372,0,"Yes"
513500,140500,372,0,"Yes"
513500,141500,372,0,"Yes"
513500,142500,372,0,"Yes"
513500,143500,380,0,"Yes"
513500,144500,421,14,"Yes"
513500,145500,442,4,"No"
513500,146500,490,0,"No"
513500,147500,637,53,"No"
513500,148500,784,15,"No"
513500,149500,739,2,"No"
513500,150500,723,1,"No"
513500,151500,713,7,"Yes"
513500,152500,738,13,"No"
513500,153500,761,68,"No"
513500,154500,799,65,"No"
513500,155500,861,85,"No"
513500,156500,1070,99,"No"
513500,157500,1337,100,"No"
513500,158500,1450,75,"No"
513500,159500,1471,68,"No"
513500,160500,1585,32,"No"
513500,161500,1559,21,"No"
513500,162500,1437,61,"No"
513500,163500,1415,58,"No"
513500,164500,1374,53,"No"
513500,165500,1282,62,"No"
513500,166500,1010,24,"Yes"
513500,167500,1004,9,"Yes"
513500,168500,1048,13,"Yes"
513500,169500,1081,34,"No"
513500,170500,1166,61,"No"
513500,171500,1185,64,"No"
513500,172500,1116,60,"No"
514500,138500,372,0,NA
514500,139500,372,0,"Yes"
514500,140500,372,0,"Yes"
514500,141500,372,0,"Yes"
514500,142500,372,0,"Yes"
514500,143500,372,0,"Yes"
514500,144500,373,4,"Yes"
514500,145500,408,4,"No"
514500,146500,437,0,"No"
514500,147500,562,11,"No"
514500,148500,753,10,"No"
514500,149500,707,0,"No"
514500,150500,694,4,"No"
514500,151500,692,30,"No"
514500,152500,698,14,"No"
514500,153500,696,35,"No"
514500,154500,717,4,"No"
514500,155500,756,13,"No"
514500,156500,820,72,"No"
514500,157500,1108,100,"No"
514500,158500,1359,100,"No"
514500,159500,1395,40,"No"
514500,160500,1468,84,"No"
514500,161500,1574,49,"No"
514500,162500,1488,50,"No"
514500,163500,1417,41,"No"
514500,164500,1403,43,"No"
514500,165500,1319,24,"No"
514500,166500,1162,62,"Yes"
514500,167500,1006,8,"Yes"
514500,168500,1010,7,"Yes"
514500,169500,1008,1,"Yes"
514500,170500,1113,53,"Yes"
514500,171500,1184,71,"No"
514500,172500,1104,74,"No"
514500,173500,1114,23,"No"
515500,139500,372,0,"Yes"
515500,140500,372,0,"Yes"
515500,141500,372,0,"Yes"
515500,142500,350,0,"Yes"
515500,143500,372,0,"Yes"
