"x","y","elevation","forest","chaparral","habitat","seeds","jays"
234636.7,3771324.4,680,0,0,"Pine","Med",37
244236.7,3765924.4,1242,0.03,0.85,"Pine","Med",44
257736.7,3766524.4,639,0,0.24,"Pine","Med",36
248736.7,3761424.4,379,0,0.01,"Bare","Low",36
244536.7,3765024.4,783,0.02,0.65,"Pine","Med",40
246936.7,3767724.4,1537,0,0.14,"Oak","Med",44
249636.7,3767124.4,1309,0,0.12,"Oak","Low",48
235836.7,3768924.4,344,0,0.02,"Pine","High",37
232836.7,3773124.4,775,0,0.11,"Oak","Med",41
238836.7,3764124.4,723,0.34,0.05,"Oak","Med",42
240336.7,3761724.4,252,0,0.03,"Pine","Med",30
240336.7,3768324.4,1092,0,0.13,"Pine","High",41
240936.7,3768024.4,1368,0,0.05,"Bare","High",39
238836.7,3766224.4,886,0.59,0.23,"Oak","Low",43
231336.7,3772224.4,15,0,0.01,"Pine","Med",30
261636.7,3765624.4,849,0,0.09,"Oak","Med",42
259536.7,3765624.4,1184,0,0.26,"Oak","Med",42
241236.7,3766524.4,1122,0,0.36,"Pine","Med",41
234636.7,3769524.4,232,0,0,"Oak","Med",38
259536.7,3768024.4,407,0,0,"Pine","Med",36
264936.7,3768624.4,402,0,0,"Oak","Low",37
241236.7,3763524.4,171,0,0.43,"Pine","Med",33
243936.7,3768024.4,1242,0,0.16,"Pine","Med",44
255936.7,3766224.4,878,0.04,0.45,"Oak","Low",38
255336.7,3766824.4,256,0.09,0.13,"Pine","Low",35
259836.7,3765624.4,1027,0,0.08,"Oak","Med",45
247236.7,3767424.4,1332,0,0.36,"Pine","Low",41
264636.7,3766524.4,221,0.02,0.08,"Pine","Low",35
232836.7,3772524.4,296,0,0.25,"Oak","High",38
264336.7,3768024.4,373,0,0.29,"Pine","High",37
243636.7,3767124.4,922,0.01,0.48,"Oak","Low",45
242736.7,3762624.4,367,0,0.1,"Pine","Med",33
263736.7,3766824.4,666,0.02,0.31,"Oak","High",42
234936.7,3773724.4,358,0,0.18,"Bare","Med",34
234336.7,3771624.4,1143,0,0.01,"Oak","Med",45
237036.7,3766824.4,562,0,0.49,"Oak","Med",40
247536.7,3763824.4,984,0.06,0.69,"Pine","Med",42
240336.7,3770424.4,951,0.16,0.31,"Oak","Med",40
245436.7,3768024.4,1404,0,0.46,"Pine","Med",44
258936.7,3767124.4,804,0.19,0.68,"Oak","Med",40
259836.7,3768024.4,210,0,0,"Oak","Low",33
249336.7,3769524.4,467,0.7,0.09,"Pine","Med",36
262236.7,3767424.4,1318,0.02,0.23,"Oak","Med",44
261936.7,3770124.4,354,0,0.05,"Bare","Low",33
247836.7,3769524.4,686,0.1,0.32,"Oak","Med",40
